source_file,source_sheet,source_row,fiscal_year,quarter,project_type,service_group,project_name,target_participants,applicants,actual_participants,passed,revenue,expense,reported_profit,satisfaction,unit
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,3,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมภาษาอังกฤษเพื่อการสอบ MU-ELT for Health Care Professionals ครั้งที่ 2/2566,109.0,0.0,109.0,0.0,76300.0,28241.0,48059.0,0.0,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,4,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,"Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ 
มหาวิทยาลัยมหิดล ครั้งที่ 1/2567",50.0,0.0,46.0,0.0,75000.0,53000.0,22000.0,4.25,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,5,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,Pre-course Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ มหาวิทยาลัยมหิดล ครั้งที่ 1/2567,150.0,0.0,108.0,0.0,375000.0,223375.0,151625.0,4.28,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,6,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,Intensive Thai for communication: Hunkuk university,20.0,0.0,20.0,0.0,119371.96,72027.82,47344.14,4.56,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,7,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรเทคนิคการเขียนหนังสือราชการสำหรับบุคลากรโรงพยาบาลศิริราชปิยมหาราชการุณย์,30.0,0.0,28.0,0.0,30000.0,20438.0,9562.0,4.5,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,8,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ  มหาวิทยาลัยมหิดล ครั้งที่ 2/2567,50.0,0.0,39.0,0.0,75000.0,54000.0,21000.0,4.78,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,9,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตร Pre-course Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ มหาวิทยาลัยมหิดล ครั้งที่ 2/2567,82.0,0.0,81.0,0.0,150000.0,87250.0,62750.0,4.59,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,10,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมเชิงปฏิบัติการพัฒนาทักษะภาษาอังกฤษเพื่อการสื่อสาร (English for Communication for Medical Practitioners),50.0,0.0,30.0,0.0,20000.0,14980.4,5019.6,4.75,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,11,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,Beginner English language Course,20.0,0.0,20.0,0.0,45000.0,28750.0,16250.0,4.65,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,12,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรระยะสั้น Sawasdee Thailand Summer Program Batch A (Culture Module),40.0,0.0,40.0,0.0,75000.0,38367.0,36633.0,0.0,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,13,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมภาษาอังกฤษเพื่อการสอบ IELTS สำหรับบุคลากรสายวิชาการโรงเรียนพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,30.0,0.0,25.0,0.0,68000.0,60708.0,7292.0,4.35,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,14,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมเชิงปฏิบัติการเพื่อพัฒนาทักษะการสื่อสารภาษาอังกฤษในการปฏิบัติงานสำหรับบุคลากรสายสนับสนุน โรงเรียนพยาบาลรามาธิบดี,30.0,0.0,30.0,0.0,45000.0,28750.0,16250.0,4.48,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,15,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตร Pre-course Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ มหาวิทยาลัยมหิดล ครั้งที่ 3/2567,66.0,0.0,73.0,0.0,225000.0,118105.0,106895.0,4.38,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,16,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรพัฒนาการสื่อสารภาษาอังกฤษอย่างมีประสิทธิภาพ รุ่นที่ 2 (Effective English Communication Skill Developments Course Batch 2),60.0,0.0,117.0,0.0,288000.0,243862.15,44137.85,4.64,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,17,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,"Pre-course Intensive English Course สำหรับนักศึกษาวิทยาลัยการจัดการ 
มหาวิทยาลัยมหิดล ครั้งที่ 4/2567",200.0,0.0,152.0,0.0,375000.0,260000.0,115000.0,4.37,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,18,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมภาษาอังกฤษเพื่อการสอบ IELTS สำหรับนักเรียนโรงเรียนราชินี,30.0,0.0,28.0,0.0,45000.0,34461.0,10539.0,4.56,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ In-House,19,2567,ไม่ระบุ,In-House,ทะเบียนคุมงบ In-House,หลักสูตรอบรมภาษาไทยเพื่อการสื่อสารสำหรับบุคลากรและนักศึกษาชาวต่างประเทศ (Intensive Thai Course) ประจำปี 2567,100.0,0.0,78.0,0.0,235000.0,167188.8,67811.2,4.44,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ MU-ELT,3,2567,ไม่ระบุ,ทะเบียนคุมงบ MU-ELT,ทะเบียนคุมงบ MU-ELT,Mahidol University English Language Test: Computer-based Examination (MU-ELT: CBE) รอบที่ 3/2566,408.0,0.0,350.0,0.0,127470.0,40312.5,87157.5,4.31,ไม่ระบุ
A ทะเบียนคุมงบประมาณ 2567.xlsx,ทะเบียนคุมงบ MU-ELT,4,2567,ไม่ระบุ,ทะเบียนคุมงบ MU-ELT,ทะเบียนคุมงบ MU-ELT,Mahidol University English Language Test: Health Care Professionals (MU-ELT: HCP) ครั้งที่ 2/2566,137.0,0.0,137.0,0.0,61600.0,15272.0,46328.0,4.58,ไม่ระบุ
