fiscal_year,project_name,format,public_outreach,social_benefit,budget,expense,participants,satisfaction
2564,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 15 ""ผ้าดำดี ภูมิวิถีท้องถิ่นศาลายา""",จัดเสวนาวิชาการ,NO,YES,20000.0,19251.0,67.0,4.47
2565,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 16 ""ศาลายา นครปฐมในวรรณกรรมร่วมสมัย""",จัดเสวนาวิชาการ,NO,YES,23000.0,21632.0,87.0,4.78
2566,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 17 ""ชีวิต-ตลาด-โอกาส-วัฒนธรรม""",จัดเสวนาวิชาการ,NO,YES,30000.0,28561.0,73.0,4.76
2567,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 18 ""ศาลายา-ศาลามู(เตลู)""",จัดเสวนาวิชาการ,NO,YES,80000.0,71278.0,139.0,4.66
2568,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 19 ""ฝรั่งในเมืองนครปฐม: โรคระบาด ศาสนา ยา และโรงเรียน""",จัดเสวนาวิชาการ,NO,YES,80000.0,73247.0,92.0,4.56
2569,"โครงการเล่าขานตำนานศาลายา ครั้งที่ 20 ""นครปฐม-ศาลายา ในมหาธีรรัชสมัย""",จัดเสวนาวิชาการ,NO,NO,0.0,0.0,0.0,0.0
2569,โครงการทุนวัฒนธรรมสู่นวัตกรรมการจัดการเรียนรู้ของครูและนักเรียน,จัดอบรมทุนวัฒนธรรมฯ แก่ โรงเรียนในเขตพื้นที่นครปฐม จำนวน 20 โรงเรียน,NO,NO,0.0,0.0,0.0,0.0
2566,โครงการเผยแพร่คลังความรู้วัฒนธรรมท้องถิ่น,จัดทำหนังสือสยามปกรณ์ปริวรรต ปริทัศน์วรรณกรรมท้องถิ่นภาคกลาง เล่ม 7,YES,NO,160000.0,147416.0,42.0,0.0
2567,โครงการเผยแพร่คลังความรู้วัฒนธรรมท้องถิ่น,จัดทำหนังสือสยามปกรณ์ปริวรรต ปริทัศน์วรรณกรรมท้องถิ่นภาคกลาง เล่ม 8 และหนังสือประชุมเรื่องพญากง พญาพานและตำนานพระปฐมเจดีย์,YES,NO,150000.0,147654.0,56.0,0.0
2568,โครงการเผยแพร่คลังความรู้วัฒนธรรมท้องถิ่น,จัดทำหนังสือสยามปกรณ์ปริวรรต ปริทัศน์วรรณกรรมท้องถิ่นภาคกลาง เล่ม 9 และหนังสือตาม่องล่าย นายอ่าวสยาม,YES,NO,150000.0,149973.0,31.0,0.0
2567,โครงการ LLC School Services ปี 2567,จัดกิจกรรมการเรียนรู้ให้แก่โรงเรียนขนาดเล็กและโขยายโอกาสในจังหวัดนครปฐม จำนวน 3 แห่ง/ จัดทำหนังสือคำศัพท์เพื่อการเรียนรู้ภาษา จำนวน 200 เล่ม,YES,YES,62000.0,58235.5,314.0,4.8
2568,โครงการ LLC School Services ปี 2568,จัดกิจกรรมการเรียนรู้ให้แก่โรงเรียนขนาดเล็กและโขยายโอกาสในจังหวัดนครปฐม จำนวน 7 แห่ง/ จัดทำเกมการ์ดคำศัพท์เพื่อการเรียนรู้ภาษาและ SDGs จำนวน 12 กล่อง,YES,YES,120000.0,116636.42,609.0,4.88
