source_row,fiscal_year,quarter,project_type,service_group,project_name,target_participants,applicants,actual_participants,passed,revenue,expense,reported_profit,satisfaction,unit
2,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,39.0,39.0,38.0,37440.0,31466.0,5974.0,4.66,ศูนย์ CAAS
3,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,48.0,48.0,42.0,44160.0,33294.0,10866.0,4.86,ศูนย์ CAAS
4,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,58.0,57600.0,36920.0,20680.0,4.83,ศูนย์ CAAS
5,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,64.0,64.0,62.0,59520.0,38228.0,21292.0,4.73,ศูนย์ CAAS
6,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,57.0,54720.0,36488.0,18232.0,4.67,ศูนย์ CAAS
7,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,60.0,57600.0,37460.0,20140.0,4.45,ศูนย์ CAAS
8,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,37.0,37440.0,32936.0,4504.0,4.63,ศูนย์ CAAS
9,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,49.0,46080.0,34736.0,11344.0,4.57,ศูนย์ CAAS
10,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,58.0,58560.0,39520.0,19040.0,4.63,ศูนย์ CAAS
11,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,43.0,41280.0,34061.0,7219.0,4.68,ศูนย์ CAAS
12,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,57.0,57.0,54.0,54720.0,38639.0,16081.0,4.75,ศูนย์ CAAS
13,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,60.0,58560.0,39947.0,18613.0,4.74,ศูนย์ CAAS
14,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,60.0,57600.0,39260.0,18340.0,4.76,ศูนย์ CAAS
15,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,57.0,59520.0,40088.0,19432.0,4.71,ศูนย์ CAAS
16,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,58.0,55680.0,38472.0,17208.0,4.37,ศูนย์ CAAS
17,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,61.0,59520.0,40448.0,19072.0,4.56,ศูนย์ CAAS
18,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,41.0,41.0,39.0,39360.0,32997.0,6363.0,4.68,ศูนย์ CAAS
19,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,51.0,51.0,50.0,48960.0,35994.0,12966.0,4.67,ศูนย์ CAAS
20,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,60.0,59520.0,39654.0,19866.0,4.59,ศูนย์ CAAS
21,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,40.0,42240.0,33948.0,8292.0,4.62,ศูนย์ CAAS
22,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,55.0,55.0,45.0,52800.0,37435.0,15365.0,4.51,ศูนย์ CAAS
23,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,61.0,58560.0,39337.0,19223.0,4.64,ศูนย์ CAAS
24,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,41.0,38400.0,31840.0,6560.0,4.86,ศูนย์ CAAS
25,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,55.0,55.0,50.0,42240.0,34212.0,8028.0,4.76,ศูนย์ CAAS
26,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,55.0,56640.0,39836.0,16804.0,4.48,ศูนย์ CAAS
27,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,57.0,55680.0,39125.0,16555.0,4.65,ศูนย์ CAAS
28,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,53.0,56640.0,39152.0,17488.0,4.61,ศูนย์ CAAS
29,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,61.0,62400.0,39917.0,22483.0,4.7,ศูนย์ CAAS
30,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,50.0,50.0,45.0,44160.0,35180.0,8980.0,4.72,ศูนย์ CAAS
31,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,62.0,56640.0,39156.0,17484.0,4.58,ศูนย์ CAAS
32,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,58.0,53760.0,38666.0,15094.0,4.58,ศูนย์ CAAS
33,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,55.0,56640.0,38705.0,17935.0,4.68,ศูนย์ CAAS
34,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,61.0,58560.0,39630.0,18930.0,4.63,ศูนย์ CAAS
35,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,64.0,62400.0,40626.0,21774.0,4.59,ศูนย์ CAAS
36,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,62.0,59520.0,39620.0,19900.0,4.38,ศูนย์ CAAS
37,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,53.0,53.0,50.0,50880.0,38006.0,12874.0,4.52,ศูนย์ CAAS
38,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,40.0,40.0,37.0,38400.0,33856.0,4544.0,0.0,ศูนย์ CAAS
39,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,38.0,38.0,38.0,36480.0,31778.0,4702.0,4.76,ศูนย์ CAAS
40,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,32.0,38400.0,33033.0,5367.0,4.54,ศูนย์ CAAS
41,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,59.0,57600.0,39178.0,18422.0,4.61,ศูนย์ CAAS
42,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,46.0,46.0,44.0,42240.0,33537.0,8703.0,4.74,ศูนย์ CAAS
